,DOI,File,Score
143,10.1016/j.neuroimage.2014.09.059,Plichta et al. - 2014 - Amygdala habituation a reliable fMRI phenotype..pdf,0
144,10.1002/hbm.23034,Harding et al. - 2016 - Fronto-cerebellar dysfunction and dysconnectivity .pdf,0
145,10.1073/pnas.1504090112,Garrett et al. - 2015 - Amphetamine modulates brain signal variability and.pdf,0
146,10.1002/nbm.4296,Stefancin et al. - 2020 - Neural correlates of working memory function in pe.pdf,0
147,10.1007/s10334-005-0010-2,Haller et al. - 2005 - Effect of fMRI acoustic noise on non-auditory work.pdf,0
148,10.3389/fnagi.2019.00340,Nissim et al. - 2019 - Effects of Transcranial Direct Current Stimulation.pdf,1
149,10.1097/MD.0000000000001586,Chen et al. - 2015 - BDNF Val66Met Polymorphism on Functional MRI Durin.pdf,0
150,10.1093/cercor/bhv181,"Fonville et al. - 2015 - Psychotic Experiences, Working Memory, and the Dev.pdf",0
151,10.1523/JNEUROSCI.2948-11.2011,Takeuchi et al. - 2011 - Effects of training of processing speed on neural .pdf,0
152,10.1523/ENEURO.0222-17.2018,Egli et al. - 2018 - Identification of Two Distinct Working Memory-Rela.pdf,0
153,10.1016/j.schres.2016.02.023,"Thermenos et al. - 2016 - Hyperactivity of caudate, parahippocampal, and pre.pdf",0
154,10.1093/brain/awl215,Zhu et al. - 2006 - fMRI revealed neural substrate for reversible work.pdf,0
155,10.1038/s41598-021-98333-w,Heinzel et al. - 2021 - Polygenic risk for obsessive-compulsive disorder (.pdf,0
156,10.1016/j.drugalcdep.2017.01.029,Wesley et al. - 2017 - Neurophysiological capacity in a working memory ta.pdf,0
157,10.1176/ajp.2006.163.11.1969,Tan et al. - 2006 - Dysfunctional prefrontal regional specialization a.pdf,1
158,10.1007/s11682-013-9241-4,Abraham et al. - 2014 - Gender differences in creative thinking behaviora.pdf,0
159,10.3389/fnagi.2019.00051,Nissim et al. - 2019 - Effects of in-Scanner Bilateral Frontal tDCS on Fu.pdf,1
160,10.1371/journal.pone.0209376,Fuentes-Claramonte et al. - 2019 - Shared and differential default-mode related patte.pdf,1
161,10.3389/fnhum.2021.765451,You et al. - 2021 - Is There Any Relationship Between Biochemical Indi.pdf,1
162,10.1007/s00702-021-02352-w,Daedelow et al. - 2021 - Neural correlates of RDoC-specific cognitive proce.pdf,1
163,10.3389/fnagi.2018.00358,Suzuki et al. - 2018 - Neural Correlates of Working Memory Maintenance in.pdf,0
164,10.1089/neu.2018.6117,Khetani et al. - 2019 - Alteration in Cerebral Activation during a Working.pdf,0
165,10.3389/fnagi.2018.00058,Esteves et al. - 2018 - Functional Hemispheric (A)symmetries in the Aged B.pdf,0
166,10.1016/j.neuropsychologia.2013.07.009,Johannsen et al. - 2013 - Functional neuroimaging of the interference betwee.pdf,0
167,10.1016/j.neuropsychologia.2018.03.003,Ivanova et al. - 2018 - Neural mechanisms of two different verbal working .pdf,0
168,10.1111/bdi.12497,Miskowiak et al. - 2017 - The catechol-O-methyltransferase (COMT) Val158Met .pdf,0
169,10.1038/srep36731,Kang et al. - 2016 - Decrease in fMRI brain activation during working m.pdf,0
170,10.1093/cercor/bhy022,Selvaggi et al. - 2019 - Genetic Variation of a DRD2 Co-expression Network .pdf,1
171,10.1002/hbm.22437,Geerligs et al. - 2014 - Flexible connectivity in the aging brain revealed .pdf,0
172,10.1371/journal.pone.0105308,Seo et al. - 2014 - Lead-induced impairments in the neural processes r.pdf,0
173,10.1002/hbm.23181,Yu et al. - 2016 - Effect of rs1063843 in the CAMKK2 gene on the dors.pdf,0
174,10.3233/BEN-2010-0268,Stoodley et al. - 2010 - An fMRI study of intra-individual functional topog.pdf,0
175,10.1093/cercor/bhy344,Gregory et al. - 2019 - Sequence Variation Associated with SLC12A5 Gene Ex.pdf,0
176,10.1159/000486152,Zanchi et al. - 2017 - Decreased Fronto-Parietal and Increased Default Mo.pdf,0
177,10.1080/13825585.2014.894958,Migo et al. - 2015 - Alterations in working memory networks in amnestic.pdf,0
178,10.3389/fncom.2020.00002,Provenzano et al. - 2020 - A Machine Learning Approach to the Differentiation.pdf,1
179,10.1186/s13063-019-4022-z,"Trepp et al. - 2020 - Impact of phenylalanine on cognitive, cerebral, an.pdf",0
180,10.3389/fnbeh.2017.00215,Zhao et al. - 2017 - Localized Fluctuant Oscillatory Activity by Workin.pdf,0
181,10.1016/j.pscychresns.2009.11.010,Townsend et al. - 2010 - fMRI abnormalities in dorsolateral prefrontal cort.pdf,0
182,10.1111/ejn.13120,Thaler et al. - 2016 - Intact working memory in non-manifesting LRRK2 car.pdf,0
183,10.1017/S0033291716000209,Miskowiak et al. - 2016 - Neural correlates of improved executive function f.pdf,0
184,10.1093/schbul/sbx001,Schneider et al. - 2017 - Altered DLPFC-Hippocampus Connectivity During Work.pdf,0
185,10.1523/JNEUROSCI.2135-15.2015,Vatansever et al. - 2015 - Default Mode Dynamics for Global Functional Integr.pdf,0
186,10.1002/hbm.22342,Cousijn et al. - 2014 - Effect of baseline cannabis use and working-memory.pdf,0
187,10.1111/adb.12253,McClernon et al. - 2016 - The effects of nicotine and non-nicotine smoking f.pdf,0
188,10.1002/pbc.24331,Wolfe et al. - 2013 - An fMRI investigation of working memory and its re.pdf,0
189,10.1002/acr.22873,Kozora et al. - 2016 - Functional Magnetic Resonance Imaging of Working M.pdf,0
190,10.1007/s00213-013-3197-3,Ashare et al. - 2013 - Association of abstinence-induced alterations in w.pdf,0
191,10.1371/journal.pone.0095997,Di Giorgio et al. - 2014 - DRD2CHRNA5 interaction on prefrontal biology and .pdf,0
192,10.1212/01.wnl.0000103238.91536.5f,Wishart et al. - 2004 - Brain activation patterns associated with working .pdf,0
193,10.1002/hbm.25007,Sripada et al. - 2020 - Toward a treadmill test for cognition Improved .pdf,0
194,10.1523/JNEUROSCI.5334-10.2011,Blokland et al. - 2011 - Heritability of working memory brain activation..pdf,0
195,10.1371/journal.pone.0030579,Takeuchi et al. - 2012 - Neural correlates of the difference between workin.pdf,0
196,10.1016/j.neuroimage.2018.08.017,Kennedy et al. - 2018 - Increasing beta-amyloid deposition in cognitively .pdf,0
197,10.1093/sleep/34.3.293,Prilipko et al. - 2011 - Task positive and default mode networks during a p.pdf,0
198,10.1007/s11682-014-9307-y,Stojanovic-Radic et al. - 2015 - Neuroimaging and cognition using functional near i.pdf,0
199,10.1016/j.yhbeh.2010.09.003,Dumas et al. - 2010 - Increased memory load-related frontal activation a.pdf,0
200,10.1016/j.neuroimage.2013.05.120,Bernal-Casas et al. - 2013 - Multi-site reproducibility of prefrontal-hippocamp.pdf,0
201,10.1212/WNL.0000000000000446,Pavisian et al. - 2014 - Effects of cannabis on cognition in patients with .pdf,0
202,10.1002/hbm.22165,Esslinger et al. - 2014 - Induction and quantification of prefrontal cortica.pdf,0
203,10.1093/cercor/bhz301,Etzel et al. - 2020 - Pattern Similarity Analyses of FrontoParietal Task.pdf,0
204,10.1002/hbm.23341,Vatansever et al. - 2017 - Angular default mode network connectivity across w.pdf,0
205,10.1002/oby.22013,Pearce et al. - 2017 - Effect of Adolescent Bariatric Surgery on the Brai.pdf,0
206,10.1371/journal.pone.0092123,Oksanen et al. - 2014 - Neural mechanisms of time-based prospective memory.pdf,0
207,10.1007/s12603-015-0609-6,Boespflug et al. - 2016 - Fish Oil Supplementation Increases Event-Related P.pdf,0
208,10.1093/cercor/bhu206,van Ast et al. - 2016 - Brain Mechanisms of Social Threat Effects on Worki.pdf,0
209,10.1017/S0033291708003565,Pomarol-Clotet et al. - 2008 - Failure to deactivate in the prefrontal cortex in .pdf,0
210,10.1002/jmri.26891,You et al. - 2020 - Does traditional asian vegetables (ulam) consumpti.pdf,0
211,10.1002/hbm.22121,Pyka et al. - 2013 - Baseline activity predicts working memory load of .pdf,0
212,10.1016/j.neuroimage.2005.12.016,"Drobyshevsky et al. - 2006 - A rapid fMRI task battery for mapping of visual, m.pdf",0
213,10.1093/ijnp/pyw049,Biehl et al. - 2016 - Increase or Decrease of fMRI Activity in Adult Att.pdf,0
214,10.1093/cercor/10.9.889,Martinkauppi et al. - 2000 - Working memory of auditory localization..pdf,0
215,10.3390/diagnostics10110930,Chen et al. - 2020 - Cognitive Fatigue Is Associated with Altered Funct.pdf,0
216,10.1002/hbm.22296,Georgiou-Karistianis et al. - 2014 - Functional magnetic resonance imaging of working m.pdf,0
217,10.1016/j.neuroimage.2012.01.129,Plichta et al. - 2012 - Test-retest reliability of evoked BOLD signals fro.pdf,0
218,10.1089/neu.2017.5262,Yuan et al. - 2018 - Mild Jugular Compression Collar Ameliorated Change.pdf,0
219,10.1016/j.neuroimage.2012.01.126,Stretton et al. - 2012 - Neural correlates of working memory in Temporal Lo.pdf,0
220,10.1111/adb.12051,Falcone et al. - 2014 - Age-related differences in working memory deficits.pdf,0
221,10.1016/j.eurpsy.2013.05.003,Lao-Kaim et al. - 2014 - Functional MRI investigation of verbal working mem.pdf,0
222,10.1016/j.neuroimage.2009.12.104,Stollstorff et al. - 2010 - Neural response to working memory load varies by d.pdf,0
223,10.1016/j.cortex.2016.05.010,Taurisano et al. - 2016 - Prefrontal activity during working memory is modul.pdf,0
224,10.1089/neu.2013.2983,Dettwiler et al. - 2014 - Persistent differences in patterns of brain activa.pdf,0
225,10.1016/j.yebeh.2019.02.031,Oyegbile et al. - 2019 - Default mode network deactivation in pediatric tem.pdf,0
226,10.1016/j.euroneuro.2017.02.004,Hernaus et al. - 2017 - Noradrenaline transporter blockade increases front.pdf,0
227,10.1111/j.1467-9450.2007.00536.x,Beneventi et al. - 2007 - An fMRI study of working memory for schematic faci.pdf,0
228,10.2147/ndt.s2461,McGeown et al. - 2008 - Prolonged cholinergic enrichment influences region.pdf,0
229,10.3389/fpsyt.2019.00060,Goodin et al. - 2019 - Decreased Response to Positive Facial Affect in a .pdf,0
230,10.1016/j.neurobiolaging.2017.08.027,Kennedy et al. - 2017 - Dynamic range in BOLD modulation lifespan aging t.pdf,0
231,10.3389/fpsyg.2016.01804,Chen et al. - 2016 - Neural Basis of Working Memory Enhancement after A.pdf,0
232,10.1016/j.neuroimage.2010.10.074,Brookes et al. - 2011 - Changes in brain network activity during working m.pdf,0
233,10.1016/j.neuroimage.2005.05.058,Oakes et al. - 2005 - Comparison of fMRI motion correction software tool.pdf,0
234,10.1002/hbm.22150,Wylie et al. - 2014 - Functional magnetic resonance imaging movers and s.pdf,0
235,10.1371/journal.pone.0158867,Alonso-Lana et al. - 2016 - Structural and Functional Brain Correlates of Cogn.pdf,1
236,10.1017/S0033291711001073,Guerrero-Pedraza et al. - 2012 - First-episode psychosis is characterized by failur.pdf,0
237,10.1007/s10548-013-0307-9,Talja et al. - 2015 - Source analysis of event-related potentials during.pdf,0
238,10.1038/pr.2015.120,Zhang et al. - 2015 - Task positive and default mode networks during a w.pdf,0
239,10.1016/j.neuroimage.2004.09.028,Koshino et al. - 2005 - Functional connectivity in an fMRI working memory .pdf,0
240,10.1177/0269881117715607,Wu et al. - 2017 - Verbal working memory-related functional connectiv.pdf,0
241,10.1002/hbm.22042,Diwadkar et al. - 2013 - Differences in cortico-striatal-cerebellar activat.pdf,0
242,10.1111/j.1440-1754.2010.02000.x,Yu et al. - 2011 - Evaluation of working memory impairment in childre.pdf,0
243,10.1016/j.nicl.2015.08.010,Brandt et al. - 2015 - Assessing brain structural associations with worki.pdf,0
244,10.1371/journal.pone.0049392,Massat et al. - 2012 - Working memory-related functional brain patterns i.pdf,0
245,10.3389/fpsyg.2016.01266,Leung et al. - 2016 - Neural Plastic Effects of Working Memory Training .pdf,0
246,10.1016/j.neubiorev.2013.09.005,Kollndorfer et al. - 2013 - Altered likelihood of brain activation in attentio.pdf,0
247,10.1162/jocn.2009.21204,Klemen et al. - 2010 - Auditory working memory load impairs visual ventra.pdf,0
248,10.1038/pr.2013.79,Griffiths et al. - 2013 - fMRI blood oxygen level-dependent activation duri.pdf,0
