"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3TJHWTXC","journalArticle","2019","Syan, Sabrina K.; Owens, Max M.; Goodman, Ben; Epstein, Leonard H.; Meyre, David; Sweet, Lawrence H.; MacKillop, James","Deficits in executive function and suppression of default mode network in obesity.","NeuroImage. Clinical","","2213-1582","10.1016/j.nicl.2019.102015","","BACKGROUND: Although nutritional and metabolic factors are well established in obesity, neurocognitive determinants are less understood. Using data from the Human  Connectome Project, this study concurrently investigated neurocognitive performance,  neural activation during a working memory task, and cortical brain morphometry in  relation to obesity in a group of young adults, 22-35 years old. METHODS: Using a  case-control design, obese individuals (n = 243, body mass index [BMI] ≥ 30 kg/m(2))  were compared to a control group of lean BMI individuals (n = 469,  BMI = 18-24.9 kg/m(2)). Performance tests comprised a battery of behavioral  neurocognitive assessments. Neural activity was measured as  blood-oxygenation-level-dependent (BOLD) activity during an N-Back task using  functional magnetic resonance imaging (fMRI). Cortical morphometry included indices  of volume, thickness, and surface area. RESULTS: Relative to the control group, the  obese group exhibited significantly worse performance in terms of the National  Institutes of Health Toolkit (NIH) 9-Hole Peg Board, Penn Working Memory Test, Delay  Discounting, Penn Progressive Matrices, NIH Picture Vocabulary Test, Dimensional  Change Card Sort Test and the in-scanner N-Back working memory test (FDR-corrected  ps<0.05; ds = 0.231-0.405). The obese group also exhibited significantly greater  BOLD activation in N-Back task-negative regions, including the ventromedial  prefrontal cortex, posterior cingulate, and right precentral gyrus (FDR-corrected  ps<0.05). Supplemental functional connectivity analyses provided evidence that the  implicated regions were part of the default mode network. Significant differences in  morphometry were present in the medial orbitofrontal cortex, rostral anterior  cingulate cortex, inferior and superior parietal gyri, and temporal pole  (FDR-corrected p<0.001). A data-driven integrative model classified 73.8% of  participants correctly. CONCLUSIONS AND RELEVANCE: This multimodal investigation  suggests diverse aspects of neurocognition are associated with obesity, particularly  implicating deficits in executive function and ineffective suppression of the  default mode network.","2019","2022-03-04 19:25:11","2022-03-04 19:25:11","","102015","","","24","","Neuroimage Clin","","","","","","","","eng","Copyright © 2019. Published by Elsevier Inc.","","","","","","PMID: 31795049  PMCID: PMC6861638","","C:\Users\User\Zotero\storage\ZGC2NQKG\Syan et al. - 2019 - Deficits in executive function and suppression of .pdf","","Humans; Female; Male; Adult; Young Adult; Memory, Short-Term/*physiology; Magnetic Resonance Imaging; *Brain Mapping; Psychomotor Performance/*physiology; *Working memory; Executive Function/*physiology; *BMI; *BOLD; *Cognition; *MRI; *Obesity; Case-Control Studies; Cerebral Cortex/diagnostic imaging/*physiopathology; Nerve Net/diagnostic imaging/*physiopathology; Obesity/diagnostic imaging/*physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UN3IQSP","journalArticle","2021","Sharma, Rupali; Cameron, Andrew; Fang, Zhuo; Ismail, Nafissa; Smith, Andra","The regulatory roles of progesterone and estradiol on emotion processing in women.","Cognitive, affective & behavioral neuroscience","","1531-135X 1530-7026","10.3758/s13415-021-00908-7","","Emotion processing is known to interact with memory. Ovarian steroid hormones, such as progesterone and estradiol, modulate emotion processing and memory. However, it  is unclear how these hormones influence brain activity when emotion processing is  integrated with working memory (WM). Therefore, the objective of this study was to  examine the relationship between endogenous hormonal concentration and brain  activity during emotion processing in the context of a WM n-back task in 74 young  women using functional magnetic resonance imaging (fMRI). Results show that positive  emotion processing activates reward-related areas, such as the caudate and putamen,  whereas negative emotion processing activates a corticolimbic network, including the  amygdala and hippocampus. Furthermore, our findings provide evidence that  progesterone modulates more bottom-up brain activation during both positive and  negative emotion processing, whereas estradiol activates lateralized, top-down  regulation. These findings provide insight on the neural correlates of emotion  processing during an n-back task in young women and highlight how important it is to  consider women's endogenous hormonal concentration in neurobiological and cognition  research.","2021-10","2022-03-04 19:25:11","2022-03-04 19:25:11","","1026-1038","","5","21","","Cogn Affect Behav Neurosci","","","","","","","","eng","© 2021. The Psychonomic Society, Inc.","","","","","","Place: United States PMID: 33982247","","C:\Users\User\Zotero\storage\SZ2U5H4W\Sharma et al. - 2021 - The regulatory roles of progesterone and estradiol.pdf","","Humans; Female; Brain Mapping; Magnetic Resonance Imaging; *Emotional processing; *fMRI; *Working memory; Brain/diagnostic imaging; Memory, Short-Term; *Estradiol; *N-Back task; *Progesterone; Emotions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK825YJV","journalArticle","2021","Lin, Qi; Yoo, Kwangsun; Shen, Xilin; Constable, Todd R.; Chun, Marvin M.","Functional Connectivity during Encoding Predicts Individual Differences in Long-Term Memory.","Journal of cognitive neuroscience","","1530-8898 0898-929X","10.1162/jocn_a_01759","","What is the neural basis of individual differences in the ability to hold information in long-term memory (LTM)? Here, we first characterize two whole-brain  functional connectivity networks based on fMRI data acquired during an n-back task  that robustly predict individual differences in two important forms of LTM,  recognition and recollection. We then focus on the recognition memory model and  contrast it with a working memory model. Although functional connectivity during the  n-back task also predicts working memory performance and the two networks have some  shared components, they are also largely distinct from each other: The recognition  memory model performance remains robust when we control for working memory, and vice  versa. Functional connectivity only within regions traditionally associated with LTM  formation, such as the medial temporal lobe and those that show univariate  subsequent memory effect, have little predictive power for both forms of LTM.  Interestingly, the interactions between these regions and other brain regions play a  more substantial role in predicting recollection memory than recognition memory.  These results demonstrate that individual differences in LTM are dependent on the  configuration of a whole-brain functional network including but not limited to  regions associated with LTM during encoding and that such a network is separable  from what supports the retention of information in working memory.","2021-10-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","2279-2296","","11","33","","J Cogn Neurosci","","","","","","","","eng","© 2021 Massachusetts Institute of Technology.","","","","","","PMID: 34272957  PMCID: PMC8497062","","C:\Users\User\Zotero\storage\IZF24Z3Q\Lin et al. - 2021 - Functional Connectivity during Encoding Predicts I.pdf","","Humans; Brain Mapping; Magnetic Resonance Imaging; Brain/diagnostic imaging; Memory, Short-Term; *Individuality; *Memory, Long-Term","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GE7YDFZE","journalArticle","2016","Sutcliffe, Grant; Harneit, Anais; Tost, Heike; Meyer-Lindenberg, Andreas","Neuroimaging Intermediate Phenotypes of Executive Control Dysfunction in Schizophrenia.","Biological psychiatry. Cognitive neuroscience and neuroimaging","","2451-9030 2451-9022","10.1016/j.bpsc.2016.03.002","","Genetic risk for schizophrenia is associated with impairments in the initiation and performance of executive control of cognition and action. The nature of these  impairments and of the neural dysfunction that underlies them has been extensively  investigated using experimental psychology and neuroimaging methods. In this  article, we review schizophrenia-associated functional connectivity and activation  abnormalities found in subjects performing experimental tasks that engage different  aspects of executive function, such as working memory, cognitive control, and  response inhibition. We focus on heritable traits associated with schizophrenia risk  (intermediate phenotypes or endophenotypes) that have been revealed using imaging  genetics approaches. These data suggest that genetic risk for schizophrenia is  associated with dysfunction in systems supporting the initiation and application of  executive control in neural circuits involving the anterior cingulate and  dorsolateral prefrontal cortex. This article discusses current findings and  limitations and their potential relevance to symptoms and disease pathogenesis.","2016-05","2022-03-04 19:25:11","2022-03-04 19:25:11","","218-229","","3","1","","Biol Psychiatry Cogn Neurosci Neuroimaging","","","","","","","","eng","Copyright © 2016 Society of Biological Psychiatry. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 29560881","","","","Review; fMRI; n-back; Cognitive control; Endophenotypes; Executive function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TALQYSLC","journalArticle","2020","Ishihara, Toru; Miyazaki, Atsushi; Tanaka, Hiroki; Matsuda, Tetsuya","Identification of the brain networks that contribute to the interaction between physical function and working memory: An fMRI investigation with over 1,000 healthy  adults.","NeuroImage","","1095-9572 1053-8119","10.1016/j.neuroimage.2020.117152","","There is a growing consensus regarding the positive relationship between physical function and working memory; however, explanations of task-evoked functional  activity regarding this relationship and its differences in physical function  domains remain controversial. This study illustrates the cross-sectional  relationships between cardiorespiratory fitness, gait speed, hand dexterity, and  muscular strength with working memory task (N-back task) performance and the  mediating effects of task-evoked functional activity in 1033 adults aged between 22  and 37 years. The results showed that cardiorespiratory fitness and hand dexterity  were independently associated with N-back task performance to a greater extent and  in contrast to gait speed and muscular strength. These relationships were mediated  by task-evoked functional activity in a part of the frontoparietal network (FPN) and  default mode network (DMN). Superior cardiorespiratory fitness could contribute to  working memory performance by enhancing the compensational role of FPN-related  broader region activation. Hand dexterity was associated with moderation of the  interaction in terms of task-evoked activation between the FPN and DMN, which in  turn, improved N-back task performance. Based on these findings, we conclude that  cardiorespiratory fitness and hand dexterity have common and unique mechanisms  enhancing working memory.","2020-11-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","117152","","","221","","Neuroimage","","","","","","","","eng","Copyright © 2020 The Author(s). Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 32668299","","","","Humans; Female; Male; Adult; Young Adult; Memory, Short-Term/*physiology; *Magnetic Resonance Imaging; *Connectome; Nerve Net/diagnostic imaging/*physiology; *Cardiorespiratory fitness; *Cognitive control; *Default mode network; *Dorsolateral prefrontal cortex; *Frontoparietal network; *Hand dexterity; Cardiorespiratory Fitness/*physiology; Cerebral Cortex/*physiology; Executive Function; Motor Skills/*physiology; Muscle Strength/*physiology; Prefrontal Cortex/physiology; Walking Speed/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QE7GDPL7","journalArticle","2021","Nęcka, Edward; Gruszka, Aleksandra; Hampshire, Adam; Sarzyńska-Wawer, Justyna; Anicai, Andreea-Elena; Orzechowski, Jarosław; Nowak, Michał; Wójcik, Natalia; Sandrone, Stefano; Soreq, Eyal","The Effects of Working Memory Training on Brain Activity.","Brain sciences","","2076-3425","10.3390/brainsci11020155","","This study aimed to investigate if two weeks of working memory (WM) training on a progressive N-back task can generate changes in the activity of the underlying WM  neural network. Forty-six healthy volunteers (23 training and 23 controls) were  asked to perform the N-back task during three fMRI scanning sessions: (1) before  training, (2) after the half of training sessions, and (3) at the end. Between the  scanning sessions, the experimental group underwent a 10-session training of working  memory with the use of an adaptive version of the N-back task, while the control  group did not train anything. The N-back task in the scanning sessions was  relatively easy (n = 2) in order to ensure high accuracy and a lack of between-group  differences at the behavioral level. Such training-induced differences in neural  efficiency were expected. Behavioral analyses revealed improved performance of both  groups on the N-back task. However, these improvements resulted from the test-retest  effect, not the training outside scanner. Performance on the non-trained stop-signal  task did not demonstrate any transfer effect. Imaging analysis showed changes in  activation in several significant clusters, with overlapping regions of interest in  the frontal and parietal lobes. However, patterns of between-session changes of  activation did not show any effect of training. The only finding that can be linked  with training consists in strengthening the correlation between task performance  accuracy and activation of the parietal regions of the neural network subserving  working memory (left superior parietal lobule and right supramarginal gyrus  posterior). These results suggest that the effects of WM training consist in  learning that, in order to ensure high accuracy in the criterion task, activation of  the parietal regions implicated in working memory updating must rise.","2021-01-25","2022-03-04 19:25:11","2022-03-04 19:25:11","","","","2","11","","Brain Sci","","","","","","","","eng","","","","","","","PMID: 33503877  PMCID: PMC7911688","","C:\Users\User\Zotero\storage\27BUCGZV\Nęcka et al. - 2021 - The Effects of Working Memory Training on Brain Ac.pdf","","working memory; N-back task; neural efficiency; stop-signal task; training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWZB6NC5","journalArticle","2020","Rosenberg, Monica D.; Martinez, Steven A.; Rapuano, Kristina M.; Conley, May I.; Cohen, Alexandra O.; Cornejo, M. Daniela; Hagler, Donald J. Jr; Meredith, Wesley J.; Anderson, Kevin M.; Wager, Tor D.; Feczko, Eric; Earl, Eric; Fair, Damien A.; Barch, Deanna M.; Watts, Richard; Casey, B. J.","Behavioral and Neural Signatures of Working Memory in Childhood.","The Journal of neuroscience : the official journal of the Society for Neuroscience","","1529-2401 0270-6474","10.1523/JNEUROSCI.2841-19.2020","","Working memory function changes across development and varies across individuals. The patterns of behavior and brain function that track individual differences in  working memory during human development, however, are not well understood. Here, we  establish associations between working memory, other cognitive abilities, and  functional MRI (fMRI) activation in data from over 11,500 9- to 10-year-old children  (both sexes) enrolled in the Adolescent Brain Cognitive Development (ABCD) Study, an  ongoing longitudinal study in the United States. Behavioral analyses reveal robust  relationships between working memory, short-term memory, language skills, and fluid  intelligence. Analyses relating out-of-scanner working memory performance to  memory-related fMRI activation in an emotional n-back task demonstrate that  frontoparietal activity during a working memory challenge indexes working memory  performance. This relationship is domain specific, such that fMRI activation related  to emotion processing during the emotional n-back task, inhibitory control during a  stop-signal task (SST), and reward processing during a monetary incentive delay  (MID) task does not track memory abilities. Together, these results inform our  understanding of individual differences in working memory in childhood and lay the  groundwork for characterizing the ways in which they change across  adolescence.SIGNIFICANCE STATEMENT Working memory is a foundational cognitive  ability that changes over time and varies across individuals. Here, we analyze data  from over 11,500 9- to 10-year-olds to establish relationships between working  memory, other cognitive abilities, and frontoparietal brain activity during a  working memory challenge, but not during other cognitive challenges. Our results lay  the groundwork for assessing longitudinal changes in working memory and predicting  later academic and other real-world outcomes.","2020-06-24","2022-03-04 19:25:11","2022-03-04 19:25:11","","5090-5104","","26","40","","J Neurosci","","","","","","","","eng","Copyright © 2020 the authors.","","","","","","PMID: 32451322  PMCID: PMC7314411","","C:\Users\User\Zotero\storage\JNDL76QB\Rosenberg et al. - 2020 - Behavioral and Neural Signatures of Working Memory.pdf","","Humans; Female; Male; Child; Memory, Short-Term/*physiology; Magnetic Resonance Imaging; Individuality; *fMRI; *working memory; *n-back; *development; *frontoparietal; Brain/growth & development/*physiology; Child Development/*physiology; Longitudinal Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQF975JK","journalArticle","2020","Kassani, Peyman Hosseinzadeh; Gossmann, Alexej; Wang, Yu-Ping","Multimodal Sparse Classifier for Adolescent Brain Age Prediction.","IEEE journal of biomedical and health informatics","","2168-2208 2168-2194","10.1109/JBHI.2019.2925710","","The study of healthy brain development helps to better understand both brain transformation and connectivity patterns, which happen during childhood to  adulthood. This study presents a sparse machine learning solution across whole-brain  functional connectivity measures of three datasets, derived from resting state  functional magnetic resonance imaging (rs-fMRI) and two task fMRI data including a  working memory n-back task (nb-fMRI) and an emotion identification task (em-fMRI).  The fMRI data are collected from the Philadelphia Neurodevelopmental Cohort (PNC)  for the prediction of brain age in adolescents. Due to extremely large  variable-to-instance ratio of PNC data, a high-dimensional matrix with several  irrelevant and highly correlated features is generated, and hence a sparse learning  approach is necessary to extract effective features from fMRI data. We propose a  sparse learner based on the residual errors along the estimation of an inverse  problem for extreme learning machine (ELM). Our proposed method is able to overcome  the overlearning problem by pruning several redundant features and their  corresponding output weights. The proposed multimodal sparse ELM classifier based on  residual errors is highly competitive in terms of classification accuracy compared  to its counterparts such as conventional ELM, and sparse Bayesian learning ELM.","2020-02","2022-03-04 19:25:11","2022-03-04 19:25:11","","336-344","","2","24","","IEEE J Biomed Health Inform","","","","","","","","eng","","","","","","","Place: United States PMID: 31265424","","C:\Users\User\Zotero\storage\XLJTZVKI\Kassani et al. - 2020 - Multimodal Sparse Classifier for Adolescent Brain .pdf","","Humans; Adolescent; Cohort Studies; Algorithms; Magnetic Resonance Imaging; Brain Mapping/methods; Memory, Short-Term; Emotions; Aging/*physiology; Brain/diagnostic imaging/*physiology; Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA99EWY7","journalArticle","2013","Baller, Erica B.; Wei, Shau-Ming; Kohn, Philip D.; Rubinow, David R.; Alarcón, Gabriela; Schmidt, Peter J.; Berman, Karen F.","Abnormalities of dorsolateral prefrontal function in women with premenstrual dysphoric disorder: a multimodal neuroimaging study.","The American journal of psychiatry","","1535-7228 0002-953X","10.1176/appi.ajp.2012.12030385","","OBJECTIVE: To investigate the neural substrate of premenstrual dysphoric disorder (PMDD), the authors used [15O]H2O positron emission tomography (PET) regional  cerebral blood flow (rCBF) and blood-oxygen-level-dependent (BOLD) functional MRI  (fMRI) signal measurements during working memory in conjunction with a 6-month  hormone manipulation protocol. METHOD: PET and fMRI scans were obtained from women  with prospectively confirmed PMDD and asymptomatic comparison subjects while they  completed the n-back task during three hormone conditions: ovarian suppression  induced by the gonadotropin-releasing hormone agonist leuprolide acetate, leuprolide  plus estradiol, and leuprolide plus progesterone. Fifteen patients and 15 matched  comparison subjects underwent PET imaging. Fourteen patients and 14 comparison  subjects underwent fMRI. For each hormone condition, rCBF was measured with [15O]H2O  PET, and BOLD signal was measured with fMRI, both during an n-back working memory  paradigm. Global Assessment of Functioning Scale (GAF) scores and clinical  characteristics were obtained for each patient before hormone manipulation, and  symptoms were measured before and during the protocol. RESULTS: In both the PET and  fMRI studies, a main effect of diagnosis was observed, with PMDD patients showing  greater prefrontal activation than comparison subjects. In the patient group, the  degree to which dorsolateral prefrontal cortex activation was abnormally increased  correlated with several dimensions of disease: disability as indicated by GAF  scores, age at symptom onset, duration of PMDD, and differences in pre- and  postmenses PMDD symptoms. CONCLUSIONS: Abnormal working memory activation in PMDD,  specifically in the dorsolateral prefrontal cortex, is related to PMDD severity,  symptoms, age at onset, and disease burden. These results support the clinical  relevance of the findings and the proposal that dorsolateral prefrontal cortex  dysfunction represents a substrate of risk for PMDD. The concordance of the fMRI and  PET data attests to the neurobiological validity of the results.","2013-03","2022-03-04 19:25:11","2022-03-04 19:25:11","","305-314","","3","170","","Am J Psychiatry","","","","","","","","eng","","","","","","","PMID: 23361612  PMCID: PMC3968942","","C:\Users\User\Zotero\storage\WT35G77B\Baller et al. - 2013 - Abnormalities of dorsolateral prefrontal function .pdf","","Humans; Female; Adult; Brain Mapping; *Magnetic Resonance Imaging; *Positron-Emission Tomography; *Image Processing, Computer-Assisted; *Imaging, Three-Dimensional; Drug Therapy, Combination; Estradiol/therapeutic use; Leuprolide/therapeutic use; Memory, Short-Term/drug effects/*physiology; Oxygen/*blood; Prefrontal Cortex/blood supply/drug effects/*physiopathology; Premenstrual Syndrome/drug therapy/*physiopathology/psychology; Progesterone/therapeutic use; Prospective Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWZNU8GF","journalArticle","2021","Chaarani, B.; Hahn, S.; Allgaier, N.; Adise, S.; Owens, M. M.; Juliano, A. C.; Yuan, D. K.; Loso, H.; Ivanciu, A.; Albaugh, M. D.; Dumas, J.; Mackey, S.; Laurent, J.; Ivanova, M.; Hagler, D. J.; Cornejo, M. D.; Hatton, S.; Agrawal, A.; Aguinaldo, L.; Ahonen, L.; Aklin, W.; Anokhin, A. P.; Arroyo, J.; Avenevoli, S.; Babcock, D.; Bagot, K.; Baker, F. C.; Banich, M. T.; Barch, D. M.; Bartsch, H.; Baskin-Sommers, A.; Bjork, J. M.; Blachman-Demner, D.; Bloch, M.; Bogdan, R.; Bookheimer, S. Y.; Breslin, F.; Brown, S.; Calabro, F. J.; Calhoun, V.; Casey, B. J.; Chang, L.; Clark, D. B.; Cloak, C.; Constable, R. T.; Constable, K.; Corley, R.; Cottler, L. B.; Coxe, S.; Dagher, R. K.; Dale, A. M.; Dapretto, M.; Delcarmen-Wiggins, R.; Dick, A. S.; Do, E. K.; Dosenbach, N. U. F.; Dowling, G. J.; Edwards, S.; Ernst, T. M.; Fair, D. A.; Fan, C. C.; Feczko, E.; Feldstein-Ewing, S. W.; Florsheim, P.; Foxe, J. J.; Freedman, E. G.; Friedman, N. P.; Friedman-Hill, S.; Fuemmeler, B. F.; Galvan, A.; Gee, D. G.; Giedd, J.; Glantz, M.; Glaser, P.; Godino, J.; Gonzalez, M.; Gonzalez, R.; Grant, S.; Gray, K. M.; Haist, F.; Harms, M. P.; Hawes, S.; Heath, A. C.; Heeringa, S.; Heitzeg, M. M.; Hermosillo, R.; Herting, M. M.; Hettema, J. M.; Hewitt, J. K.; Heyser, C.; Hoffman, E.; Howlett, K.; Huber, R. S.; Huestis, M. A.; Hyde, L. W.; Iacono, W. G.; Infante, M. A.; Irfanoglu, O.; Isaiah, A.; Iyengar, S.; Jacobus, J.; James, R.; Jean-Francois, B.; Jernigan, T.; Karcher, N. R.; Kaufman, A.; Kelley, B.; Kit, B.; Ksinan, A.; Kuperman, J.; Laird, A. R.; Larson, C.; LeBlanc, K.; Lessov-Schlagger, C.; Lever, N.; Lewis, D. A.; Lisdahl, K.; Little, A. R.; Lopez, M.; Luciana, M.; Luna, B.; Madden, P. A.; Maes, H. H.; Makowski, C.; Marshall, A. T.; Mason, M. J.; Matochik, J.; McCandliss, B. D.; McGlade, E.; Montoya, I.; Morgan, G.; Morris, A.; Mulford, C.; Murray, P.; Nagel, B. J.; Neale, M. C.; Neigh, G.; Nencka, A.; Noronha, A.; Nixon, S. J.; Palmer, C. E.; Pariyadath, V.; Paulus, M. P.; Pelham, W. E.; Pfefferbaum, D.; Pierpaoli, C.; Prescot, A.; Prouty, D.; Puttler, L. I.; Rajapaske, N.; Rapuano, K. M.; Reeves, G.; Renshaw, P. F.; Riedel, M. C.; Rojas, P.; de la Rosa, M.; Rosenberg, M. D.; Ross, M. J.; Sanchez, M.; Schirda, C.; Schloesser, D.; Schulenberg, J.; Sher, K. J.; Sheth, C.; Shilling, P. D.; Simmons, W. K.; Sowell, E. R.; Speer, N.; Spittel, M.; Squeglia, L. M.; Sripada, C.; Steinberg, J.; Striley, C.; Sutherland, M. T.; Tanabe, J.; Tapert, S. F.; Thompson, W.; Tomko, R. L.; Uban, K. A.; Vrieze, S.; Wade, N. E.; Watts, R.; Weiss, S.; Wiens, B. A.; Williams, O. D.; Wilbur, A.; Wing, D.; Wolff-Hughes, D.; Yang, R.; Yurgelun-Todd, D. A.; Zucker, R. A.; Potter, A.; Garavan, H. P.","Baseline brain function in the preadolescents of the ABCD Study.","Nature neuroscience","","1546-1726 1097-6256","10.1038/s41593-021-00867-9","","The Adolescent Brain Cognitive Development (ABCD) Study(®) is a 10-year longitudinal study of children recruited at ages 9 and 10. A battery of neuroimaging tasks are  administered biennially to track neurodevelopment and identify individual  differences in brain function. This study reports activation patterns from  functional MRI (fMRI) tasks completed at baseline, which were designed to measure  cognitive impulse control with a stop signal task (SST; N = 5,547), reward  anticipation and receipt with a monetary incentive delay (MID) task (N = 6,657) and  working memory and emotion reactivity with an emotional N-back (EN-back) task  (N = 6,009). Further, we report the spatial reproducibility of activation patterns  by assessing between-group vertex/voxelwise correlations of blood oxygen  level-dependent (BOLD) activation. Analyses reveal robust brain activations that are  consistent with the published literature, vary across fMRI tasks/contrasts and  slightly correlate with individual behavioral performance on the tasks. These  results establish the preadolescent brain function baseline, guide interpretation of  cross-sectional analyses and will enable the investigation of longitudinal changes  during adolescent development.","2021-08","2022-03-04 19:25:11","2022-03-04 19:25:11","","1176-1186","","8","24","","Nat Neurosci","","","","","","","","eng","© 2021. The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","","","Place: United States PMID: 34099922","","C:\Users\User\Zotero\storage\JRYKBZBU\Chaarani et al. - 2021 - Baseline brain function in the preadolescents of t.pdf","","Humans; Female; Male; Child; Adolescent; Magnetic Resonance Imaging; Reference Values; Brain/*physiology; Adolescent Development/physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFMA6UDG","journalArticle","2019","Vardy, Janette L.; Stouten-Kemperman, Myrle M.; Pond, Gregory; Booth, Christopher M.; Rourke, Sean B.; Dhillon, Haryana M.; Dodd, Anna; Crawley, Adrian; Tannock, Ian F.","A mechanistic cohort study evaluating cognitive impairment in women treated for breast cancer.","Brain imaging and behavior","","1931-7565 1931-7557","10.1007/s11682-017-9728-5","","Some women report cognitive impairment after adjuvant chemotherapy (CTh) for breast cancer. Here we explore cognitive function, and underlying mechanisms with blood  tests and functional magnetic resonance imaging (fMRI). Women treated for early  breast cancer were recruited to three groups based on self-reported cognitive  symptoms (CS) using FACT-Cog scores. CTh + CS+ (n = 44) had received chemotherapy  and self-reported cognitive symptoms; CTh + CS- (n = 52) had chemotherapy but did  not report cognitive problems; CTh- (n = 30) had not received chemotherapy. Clinical  and computer-based neuropsychological tests were performed. Blood tests included 10  cytokines, sex hormones, coagulation factors, and apolipoprotein-E genotype. fMRI  (n = 101) was performed while subjects performed an n-back memory task. Participants  had median age 50 (range: 29-60) years and were a median of 17 months  post-diagnosis. On clinical neuropsychological tests 19% had cognitive impairment  using Global Deficit Score, and 36% using International Cancer and Cognition Task  Force criteria with no significant differences in cognitive impairment rates between  groups. CTh + CS+ had significantly more fatigue, anxiety/depression and poorer  quality-of-life than other groups. There was no association between FACT-Cog and  neuropsychological scores. There were significant differences in frontal and  parietal regions on fMRI scans: CTh- showed hyperactivation compared to  chemotherapy-treated groups, CTh + CS+ had more frontal activation than CTh + CS-.  Elevated IL-1, IL-2 were associated weakly and IL-8 more strongly with  neuropsychological impairment (rho > 0.20). There were no differences in global  cognitive impairment between groups. Cognitive symptoms were associated with fatigue  and anxiety/depression, but not with objective cognitive impairment. fMRI scans  differed among the three groups.","2019-02","2022-03-04 19:25:11","2022-03-04 19:25:11","","15-26","","1","13","","Brain Imaging Behav","","","","","","","","eng","","","","","","","Place: United States PMID: 28466438","","C:\Users\User\Zotero\storage\BD5NE6X2\Vardy et al. - 2019 - A mechanistic cohort study evaluating cognitive im.pdf","","Humans; Female; Adult; Middle Aged; Cohort Studies; Magnetic Resonance Imaging; Neuropsychological Tests; fMRI; Memory, Short-Term/physiology; Antineoplastic Agents/adverse effects/therapeutic use; Biomarkers/blood; Brain/diagnostic imaging/physiopathology; Breast cancer; Breast Neoplasms/blood/diagnostic imaging/*psychology/*therapy; Cancer survivors; Cancer Survivors/psychology; Cognitive Dysfunction/blood/diagnostic imaging/*etiology/physiopathology; Cognitive impairment; Cognitive symptoms; Diagnostic Self Evaluation; Quality of life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
