PMID	Title	Authors	Citation	First.Author	Journal.Book	Publication.Year	Create.Date	PMCID	NIHMS.ID	DOI	Data Available	Open Access	Code Available	Note
29159055	Neural correlates of working memory deficits and associations to response inhibition in obsessive compulsive disorder	"Heinzel S, Kaufmann C, Grützmann R, Hummel R, Klawohn J, Riesel A, Bey K, Lennertz L, Wagner M, Kathmann N."	Neuroimage Clin. 2017 Nov 3;17:426-434. doi: 10.1016/j.nicl.2017.10.039. eCollection 2018.	Heinzel S	Neuroimage Clin	2017	2017-11-22	PMC5683807		10.1016/j.nicl.2017.10.039	FALSE	TRUE	FALSE	
29409757	Polygenic risk for schizophrenia affects working memory and its neural correlates in healthy subjects	"Krug A, Dietsche B, Zöllner R, Yüksel D, Nöthen MM, Forstner AJ, Rietschel M, Dannlowski U, Baune BT, Maier R, Witt SH, Kircher T."	Schizophr Res. 2018 Jul;197:315-320. doi: 10.1016/j.schres.2018.01.013. Epub 2018 Mar 1.	Krug A	Schizophr Res	2018	2018-02-08			10.1016/j.schres.2018.01.013	FALSE	FALSE	FALSE	
24657779	Reconstructing functional near-infrared spectroscopy (fNIRS) signals impaired by extra-cranial confounds: an easy-to-use filter method	"Haeussinger FB, Dresler T, Heinzel S, Schecklmann M, Fallgatter AJ, Ehlis AC."	Neuroimage. 2014 Jul 15;95:69-79. doi: 10.1016/j.neuroimage.2014.02.035. Epub 2014 Mar 19.	Haeussinger FB	Neuroimage	2014	2014-03-25			10.1016/j.neuroimage.2014.02.035	FALSE	FALSE	FALSE	
24577471	Acute caffeine administration effect on brain activation patterns in mild cognitive impairment	"Haller S, Montandon ML, Rodriguez C, Moser D, Toma S, Hofmeister J, Sinanaj I, Lovblad KO, Giannakopoulos P."	J Alzheimers Dis. 2014;41(1):101-12. doi: 10.3233/JAD-132360.	Haller S	J Alzheimers Dis	2014	2014-03-01			10.3233/JAD-132360	FALSE	FALSE	FALSE	
18728791	Prolonged cholinergic enrichment influences regional cortical activation in early Alzheimer's disease	"McGeown WJ, Shanks MF, Venneri A."	Neuropsychiatr Dis Treat. 2008 Apr;4(2):465-76. doi: 10.2147/ndt.s2461.	McGeown WJ	Neuropsychiatr Dis Treat	2008	2008-08-30	PMC2518373		10.2147/ndt.s2461	FALSE	FALSE	FALSE	
24043402	Source analysis of event-related potentials during pitch discrimination and pitch memory tasks	"Talja S, Alho K, Rinne T."	Brain Topogr. 2015 May;28(3):445-58. doi: 10.1007/s10548-013-0307-9. Epub 2013 Sep 17.	Talja S	Brain Topogr	2015	2013-09-18			10.1007/s10548-013-0307-9	FALSE	FALSE	FALSE	
29421266	Neural correlates of working memory in first episode and recurrent depression: An fMRI study	"Yüksel D, Dietsche B, Konrad C, Dannlowski U, Kircher T, Krug A."	Prog Neuropsychopharmacol Biol Psychiatry. 2018 Jun 8;84(Pt A):39-49. doi: 10.1016/j.pnpbp.2018.02.003. Epub 2018 Feb 5.	Yüksel D	Prog Neuropsychopharmacol Biol Psychiatry	2018	2018-02-09			10.1016/j.pnpbp.2018.02.003	FALSE	FALSE	FALSE	
25707581	n-back task performance and corresponding brain-activation patterns in women with restrictive and bulimic eating-disorder variants: preliminary findings	"Israel M, Klein M, Pruessner J, Thaler L, Spilka M, Efanov S, Ouellette AS, Berlim M, Ali N, Beaudry T, Van den Eynde F, Walker CD, Steiger H."	Psychiatry Res. 2015 Apr 30;232(1):84-91. doi: 10.1016/j.pscychresns.2015.01.022. Epub 2015 Feb 7.	Israel M	Psychiatry Res	2015	2015-02-25			10.1016/j.pscychresns.2015.01.022	FALSE	FALSE	FALSE	
22200338	fMRI and MEG in the study of typical and atypical cognitive development	"Taylor MJ, Donner EJ, Pang EW."	Neurophysiol Clin. 2012 Jan-Feb;42(1-2):19-25. doi: 10.1016/j.neucli.2011.08.002. Epub 2011 Sep 1.	Taylor MJ	Neurophysiol Clin	2012	2011-12-28			10.1016/j.neucli.2011.08.002	FALSE	FALSE	FALSE	
30006860	Long-term brain effects of N-back training: an fMRI study	"Miró-Padilla A, Bueichekú E, Ventura-Campos N, Flores-Compañ MJ, Parcet MA, Ávila C."	Brain Imaging Behav. 2019 Aug;13(4):1115-1127. doi: 10.1007/s11682-018-9925-x.	Miró-Padilla A	Brain Imaging Behav	2019	2018-07-15			10.1007/s11682-018-9925-x	FALSE	FALSE	FALSE	
32813290	Working memory training restores aberrant brain activity in adult attention-deficit hyperactivity disorder	"Salmi J, Soveri A, Salmela V, Alho K, Leppämäki S, Tani P, Koski A, Jaeggi SM, Laine M."	Hum Brain Mapp. 2020 Dec;41(17):4876-4891. doi: 10.1002/hbm.25164. Epub 2020 Aug 19.	Salmi J	Hum Brain Mapp	2020	2020-08-20	PMC7643386		10.1002/hbm.25164	TRUE	TRUE	TRUE	upon request
24643226	Neural mechanisms of time-based prospective memory: evidence for transient monitoring	"Oksanen KM, Waldum ER, McDaniel MA, Braver TS."	PLoS One. 2014 Mar 18;9(3):e92123. doi: 10.1371/journal.pone.0092123. eCollection 2014.	Oksanen KM	PLoS One	2014	2014-03-20	PMC3958452		10.1371/journal.pone.0092123	FALSE	TRUE	FALSE	
31139470	Repeated Working Memory Training Improves Task Performance and Neural Efficiency in Multiple Sclerosis Patients and Healthy Controls	"Aguirre N, Cruz-Gómez ÁJ, Miró-Padilla A, Bueichekú E, Broseta Torres R, Ávila C, Sanchis-Segura C, Forn C."	Mult Scler Int. 2019 Apr 16;2019:2657902. doi: 10.1155/2019/2657902. eCollection 2019.	Aguirre N	Mult Scler Int	2019	2019-05-30	PMC6500632		10.1155/2019/2657902	TRUE	TRUE	TRUE	upon request
29758392	"Effects of mindfulness and psychoeducation on working memory in adult ADHD: A randomised, controlled fMRI study"	"Bachmann K, Lam AP, Sörös P, Kanat M, Hoxhaj E, Matthies S, Feige B, Müller H, Özyurt J, Thiel CM, Philipsen A."	Behav Res Ther. 2018 Jul;106:47-56. doi: 10.1016/j.brat.2018.05.002. Epub 2018 May 7.	Bachmann K	Behav Res Ther	2018	2018-05-15			10.1016/j.brat.2018.05.002	FALSE	FALSE	FALSE	
22993529	Changes in effective connectivity according to working memory load: an FMRI study of face and location working memory tasks	"Kim JS, Jung WH, Kang DH, Park JY, Jang JH, Choi JS, Choi CH, Kim J, Kwon JS."	Psychiatry Investig. 2012 Sep;9(3):283-92. doi: 10.4306/pi.2012.9.3.283. Epub 2012 Sep 6.	Kim JS	Psychiatry Investig	2012	2012-09-21	PMC3440479		10.4306/pi.2012.9.3.283	FALSE	TRUE	FALSE	
23275593	Effects of the apolipoprotein E ε4 allele on functional MRI during n-back working memory tasks in healthy middle-aged adults	"Chen CJ, Chen CC, Wu D, Chi NF, Chen PC, Liao YP, Chiu HW, Hu CJ."	AJNR Am J Neuroradiol. 2013 Jun-Jul;34(6):1197-202. doi: 10.3174/ajnr.A3369. Epub 2012 Dec 28.	Chen CJ	AJNR Am J Neuroradiol	2013	2013-01-01	PMC7964576		10.3174/ajnr.A3369	FALSE	TRUE	FALSE	
28424597	Working Memory after Traumatic Brain Injury: The Neural Basis of Improved Performance with Methylphenidate	"Manktelow AE, Menon DK, Sahakian BJ, Stamatakis EA."	Front Behav Neurosci. 2017 Apr 5;11:58. doi: 10.3389/fnbeh.2017.00058. eCollection 2017.	Manktelow AE	Front Behav Neurosci	2017	2017-04-21	PMC5380757		10.3389/fnbeh.2017.00058	FALSE	FALSE	FALSE	
11053229	Physiological dysfunction of the dorsolateral prefrontal cortex in schizophrenia revisited	"Callicott JH, Bertolino A, Mattay VS, Langheim FJ, Duyn J, Coppola R, Goldberg TE, Weinberger DR."	Cereb Cortex. 2000 Nov;10(11):1078-92. doi: 10.1093/cercor/10.11.1078.	Callicott JH	Cereb Cortex	2000	2000-10-29			10.1093/cercor/10.11.1078	FALSE	FALSE	FALSE	
32996012	Abnormal brain activity patterns during spatial working memory task in patients with end-stage renal disease on maintenance hemodialysis: a fMRI study	"Huang J, Xie L, Guo R, Wang J, Lin J, Sun Z, Duan S, Lin Z, Li H, Ma S."	Brain Imaging Behav. 2021 Aug;15(4):1898-1911. doi: 10.1007/s11682-020-00383-7.	Huang J	Brain Imaging Behav	2021	2020-09-30	PMC8413196		10.1007/s11682-020-00383-7	FALSE	TRUE	FALSE	
27102424	Increased superior frontal gyrus activation during working memory processing in psychosis: Significant relation to cumulative antipsychotic medication and to negative symptoms	"Vogel T, Smieskova R, Schmidt A, Walter A, Harrisberger F, Eckert A, Lang UE, Riecher-Rössler A, Graf M, Borgwardt S."	Schizophr Res. 2016 Aug;175(1-3):20-26. doi: 10.1016/j.schres.2016.03.033. Epub 2016 Apr 18.	Vogel T	Schizophr Res	2016	2016-04-23			10.1016/j.schres.2016.03.033	FALSE	FALSE	FALSE	
29334834	Mild Jugular Compression Collar Ameliorated Changes in Brain Activation of Working Memory after One Soccer Season in Female High School Athletes	"Yuan W, Dudley J, Barber Foss KD, Ellis JD, Thomas S, Galloway RT, DiCesare CA, Leach JL, Adams J, Maloney T, Gadd B, Smith D, Epstein JN, Grooms DR, Logan K, Howell DR, Altaye M, Myer GD."	J Neurotrauma. 2018 Jun 1;35(11):1248-1259. doi: 10.1089/neu.2017.5262. Epub 2018 Mar 27.	Yuan W	J Neurotrauma	2018	2018-01-17	PMC6037185		10.1089/neu.2017.5262	FALSE	FALSE	FALSE	
32668299	"Identification of the brain networks that contribute to the interaction between physical function and working memory: An fMRI investigation with over 1,000 healthy adults"	"Ishihara T, Miyazaki A, Tanaka H, Matsuda T."	Neuroimage. 2020 Nov 1;221:117152. doi: 10.1016/j.neuroimage.2020.117152. Epub 2020 Jul 12.	Ishihara T	Neuroimage	2020	2020-07-16			10.1016/j.neuroimage.2020.117152	TRUE	TRUE	FALSE	Human Connectome Project
